partida_id;clube;ano;data;partida;publico;ticket;mandante
1;Santos;2008;18/05/2008;1;2396,00;11,86;1
2;Santos;2008;25/05/2008;2;19291,00;13,70;0
3;Santos;2008;11/05/2008;3;11199,07;13,47;0
4;Santos;2008;08/06/2008;4;14657,00;10,34;0
5;Santos;2008;12/06/2008;5;6539,00;9,76;0
6;Santos;2008;01/06/2008;6;7298,00;15,60;1
7;Santos;2008;22/06/2008;7;3848,00;11,67;1
8;Santos;2008;28/06/2008;8;5000,00;21,40;0
9;Santos;2008;05/07/2008;9;18180,00;17,01;0
10;Santos;2008;09/07/2008;10;5739,00;11,63;1
11;Santos;2008;13/07/2008;11;10088,00;10,39;1
12;Santos;2008;16/07/2008;12;9230,00;7,59;0
13;Santos;2008;20/07/2008;13;13918,00;11,16;1
14;Santos;2008;24/07/2008;14;21339,00;26,79;0
15;Santos;2008;27/07/2008;15;10738,00;8,70;1
16;Santos;2008;30/07/2008;16;19952,00;13,06;0
17;Santos;2008;03/08/2008;17;10261,00;9,57;1
18;Santos;2008;06/08/2008;18;6657,00;7,61;1
19;Santos;2008;10/08/2008;19;13711,00;3,63;0
20;Santos;2008;17/08/2008;20;15359,00;9,22;1
21;Santos;2008;20/08/2008;21;1066,00;8,11;0
22;Santos;2008;24/08/2008;22;8563,00;7,36;1
23;Santos;2008;31/08/2008;23;14547,00;25,20;0
24;Santos;2008;03/09/2008;24;10061,00;5,61;1
25;Santos;2008;14/09/2008;25;11085,00;8,43;1
26;Santos;2008;20/09/2008;26;9469,00;15,89;0
27;Santos;2008;28/09/2008;27;7552,00;7,11;1
28;Santos;2008;04/10/2008;28;10053,00;11,04;1
29;Santos;2008;08/10/2008;29;30469,00;20,08;0
30;Santos;2008;18/10/2008;30;20634,00;9,39;0
31;Santos;2008;25/10/2008;31;12573,00;11,94;1
32;Santos;2008;30/10/2008;32;19782,00;3,54;0
33;Santos;2008;02/11/2008;33;14214,00;25,49;1
34;Santos;2008;08/11/2008;34;21310,00;13,04;0
35;Santos;2008;16/11/2008;35;11731,00;10,15;1
36;Santos;2008;22/11/2008;36;11455,00;14,38;0
37;Santos;2008;30/11/2008;37;57391,00;6,68;0
38;Santos;2008;07/12/2008;38;14121,00;5,64;1
39;Santos;2009;10/05/2009;1;24309,00;20,06;0
40;Santos;2009;17/05/2009;2;9511,00;13,11;1
41;Santos;2009;24/05/2009;3;11953,00;13,73;0
42;Santos;2009;31/05/2009;4;10666,00;22,97;1
43;Santos;2009;04/06/2009;5;7918,00;20,76;0
44;Santos;2009;13/06/2009;6;6535,00;12,73;0
45;Santos;2009;21/06/2009;7;7214,00;15,34;1
46;Santos;2009;28/06/2009;8;8277,00;31,16;0
47;Santos;2009;04/07/2009;9;7025,00;15,90;1
48;Santos;2009;12/07/2009;10;17090,00;20,30;0
49;Santos;2009;15/07/2009;11;3524,00;14,34;1
50;Santos;2009;19/07/2009;12;10913,00;22,72;0
51;Santos;2009;22/07/2009;13;7375,00;14,82;1
52;Santos;2009;26/07/2009;14;10633,00;23,78;1
53;Santos;2009;29/07/2009;15;13511,00;3,01;0
54;Santos;2009;26/08/2009;16;7876,00;15,08;1
55;Santos;2009;05/08/2009;17;17250,00;34,58;0
56;Santos;2009;08/08/2009;18;12074,00;16,63;1
57;Santos;2009;16/08/2009;19;16939,00;18,61;0
58;Santos;2009;19/08/2009;20;6499,00;15,96;1
59;Santos;2009;23/08/2009;21;12358,00;16,88;0
60;Santos;2009;30/08/2009;22;9705,00;15,54;1
61;Santos;2009;02/09/2009;23;25645,00;32,03;0
62;Santos;2009;13/09/2009;24;7790,00;15,16;1
63;Santos;2009;20/09/2009;25;6335,00;22,68;1
64;Santos;2009;27/09/2009;26;36294,00;13,37;0
65;Santos;2009;04/10/2009;27;10402,00;24,55;1
66;Santos;2009;07/10/2009;28;10379,00;12,20;0
67;Santos;2009;12/10/2009;29;23673,00;9,98;1
68;Santos;2009;17/10/2009;30;3684,00;20,10;0
69;Santos;2009;25/10/2009;31;8735,00;24,95;1
70;Santos;2009;28/10/2009;32;17930,00;20,03;0
71;Santos;2009;31/10/2009;33;77063,00;19,47;0
72;Santos;2009;07/11/2009;34;11304,00;17,77;1
73;Santos;2009;15/11/2009;35;12944,00;16,38;0
74;Santos;2009;22/11/2009;36;3942,00;13,21;1
75;Santos;2009;29/11/2009;37;8761,00;5,39;0
76;Santos;2009;06/12/2009;38;6942,00;14,49;1
77;Santos;2010;08/05/2010;1;25634,00;18,53;0
78;Santos;2010;16/05/2010;2;8999,00;25,11;1
79;Santos;2010;22/05/2010;3;4669,00;29,42;0
80;Santos;2010;26/05/2010;4;5146,00;27,93;1
81;Santos;2010;30/05/2010;5;27681,00;29,83;0
82;Santos;2010;02/06/2010;6;15708,00;33,92;0
83;Santos;2010;06/06/2010;7;9525,00;22,99;1
84;Santos;2010;15/07/2010;8;9400,00;37,97;0
85;Santos;2010;18/07/2010;9;9193,00;26,66;1
86;Santos;2010;21/07/2010;10;21390,00;18,05;0
87;Santos;2010;25/07/2010;11;9367,00;27,26;1
88;Santos;2010;01/08/2010;12;15890,00;13,41;0
89;Santos;2010;13/10/2010;13;10036,00;24,31;1
90;Santos;2010;15/08/2010;14;10648,00;12,12;0
91;Santos;2010;22/08/2010;15;10220,00;25,82;1
92;Santos;2010;25/08/2010;16;13801,00;14,94;0
93;Santos;2010;28/08/2010;17;17968,00;24,23;1
94;Santos;2010;02/09/2010;18;7141,00;24,06;1
95;Santos;2010;05/09/2010;19;41007,00;27,83;0
96;Santos;2010;09/09/2010;20;14305,00;24,64;1
97;Santos;2010;12/09/2010;21;23374,00;13,75;0
98;Santos;2010;15/09/2010;22;3873,00;25,64;1
99;Santos;2010;19/09/2010;23;10998,00;21,89;0
100;Santos;2010;22/09/2010;24;10898,00;35,43;1
101;Santos;2010;25/09/2010;25;9542,00;20,70;1
102;Santos;2010;28/09/2010;26;5366,00;11,69;0
103;Santos;2010;02/10/2010;27;8900,00;34,82;1
104;Santos;2010;06/10/2010;28;11723,00;26,74;0
105;Santos;2010;09/10/2010;29;8467,00;37,81;1
106;Santos;2010;17/10/2010;30;23791,00;37,17;0
107;Santos;2010;24/10/2010;31;11075,00;24,91;1
108;Santos;2010;30/10/2010;32;25178,00;18,23;0
109;Santos;2010;03/11/2010;33;4643,00;24,30;1
110;Santos;2010;06/11/2010;34;16771,00;4,89;0
111;Santos;2010;13/11/2010;35;7421,00;19,40;1
112;Santos;2010;21/11/2010;36;2865,00;20,91;0
113;Santos;2010;28/11/2010;37;12291,00;32,02;0
114;Santos;2010;05/12/2010;38;9086,00;11,81;1
115;Santos;2011;21/05/2011;1;4532,00;17,25;1
116;Santos;2011;28/05/2011;2;6222,00;23,00;0
117;Santos;2011;05/06/2011;3;4109,00;15,68;1
118;Santos;2011;11/06/2011;4;6073,00;17,26;0
119;Santos;2011;10/08/2011;5;9714,00;33,63;1
120;Santos;2011;02/07/2011;6;5912,00;18,67;1
121;Santos;2011;29/06/2011;7;5322,00;11,27;0
122;Santos;2011;24/08/2011;8;6855,00;22,83;1
123;Santos;2011;10/07/2011;9;17245,00;25,76;0
124;Santos;2011;16/07/2011;10;4717,00;17,96;1
125;Santos;2011;05/10/2011;11;21102,00;19,62;0
126;Santos;2011;27/07/2011;12;12968,00;24,06;1
127;Santos;2011;31/07/2011;13;18898,00;23,58;0
128;Santos;2011;03/08/2011;14;14222,00;24,36;0
129;Santos;2011;07/08/2011;15;10105,00;26,90;1
130;Santos;2011;13/08/2011;16;11678,00;21,91;0
131;Santos;2011;17/08/2011;17;5143,00;25,01;1
132;Santos;2011;21/08/2011;18;32157,00;24,33;0
133;Santos;2011;28/08/2011;19;12498,00;24,13;1
134;Santos;2011;31/08/2011;20;8352,00;14,83;0
135;Santos;2011;19/10/2011;21;5770,00;23,79;1
136;Santos;2011;07/09/2011;22;5920,00;11,31;0
137;Santos;2011;10/09/2011;23;9367,00;25,54;1
138;Santos;2011;18/09/2011;24;37315,00;31,58;0
139;Santos;2011;21/09/2011;25;10366,27;20,37;0
140;Santos;2011;24/09/2011;26;7059,00;23,69;1
141;Santos;2011;01/10/2011;27;11780,00;22,59;0
142;Santos;2011;09/10/2011;28;7373,00;24,05;1
143;Santos;2011;13/10/2011;29;12351,00;5,20;0
144;Santos;2011;16/10/2011;30;3477,00;25,97;1
145;Santos;2011;23/10/2011;31;13853,00;27,01;0
146;Santos;2011;29/10/2011;32;16679,00;21,63;1
147;Santos;2011;06/11/2011;33;12305,00;17,49;1
148;Santos;2011;13/11/2011;34;15406,00;17,07;0
149;Santos;2011;17/11/2011;35;18044,00;19,91;1
150;Santos;2011;20/11/2011;36;16447,00;16,23;0
151;Santos;2011;27/11/2011;37;12052,00;17,28;1
152;Santos;2011;04/12/2011;38;5095,00;20,00;0
153;Santos;2012;20/05/2012;1;8808,00;17,58;0
154;Santos;2012;27/05/2012;2;5294,00;21,41;1
155;Santos;2012;06/06/2012;3;4080,00;19,92;1
156;Santos;2012;10/06/2012;4;6327,00;29,39;0
157;Santos;2012;17/06/2012;5;17373,00;19,92;0
158;Santos;2012;24/06/2012;6;5120,00;20,71;1
159;Santos;2012;01/07/2012;7;7942,00;38,14;0
160;Santos;2012;08/07/2012;8;9402,00;23,91;1
161;Santos;2012;15/07/2012;9;11791,00;20,20;0
162;Santos;2012;18/07/2012;10;7069,00;22,16;1
163;Santos;2012;21/07/2012;11;17222,00;25,62;0
164;Santos;2012;26/07/2012;12;20418,00;40,47;0
165;Santos;2012;29/07/2012;13;4261,00;21,61;1
166;Santos;2012;05/08/2012;14;12266,00;16,09;0
167;Santos;2012;08/08/2012;15;3215,00;22,94;1
168;Santos;2012;11/08/2012;16;9482,00;22,51;1
169;Santos;2012;16/08/2012;17;14751,60;20,72;0
170;Santos;2012;19/08/2012;18;12413,00;22,28;1
171;Santos;2012;25/08/2012;19;21171,00;36,50;0
172;Santos;2012;29/08/2012;20;8612,00;21,67;1
173;Santos;2012;02/09/2012;21;22167,00;13,96;0
174;Santos;2012;06/09/2012;22;15874,00;15,02;0
175;Santos;2012;09/09/2012;23;6379,00;24,06;1
176;Santos;2012;12/09/2012;24;8015,00;35,18;1
177;Santos;2012;16/09/2012;25;20274,00;24,37;0
178;Santos;2012;22/09/2012;26;17080,00;3,77;1
179;Santos;2012;30/09/2012;27;45762,00;23,62;0
180;Santos;2012;06/10/2012;28;9965,00;8,46;1
181;Santos;2012;10/10/2012;29;2986,00;20,28;0
182;Santos;2012;14/10/2012;30;6555,00;16,04;1
183;Santos;2012;17/10/2012;31;10553,00;16,29;1
184;Santos;2012;21/10/2012;32;13468,00;19,92;0
185;Santos;2012;25/10/2012;33;6225,00;15,76;1
186;Santos;2012;03/11/2012;34;16331,00;35,00;0
187;Santos;2012;10/11/2012;35;7276,00;62,02;0
188;Santos;2012;17/11/2012;36;10013,00;16,61;1
189;Santos;2012;24/11/2012;37;34171,00;33,88;0
190;Santos;2012;01/12/2012;38;11641,00;23,68;1
